gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,8,2560,6144,torch.float8_e4m3fn,flydsl,2390,0,7.5161,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x1_default,33.48,2104.65,0.0
gfx950,256,16,2560,6144,torch.float8_e4m3fn,flydsl,2374,0,7.9176,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,63.57,2009.3,0.0
gfx950,256,32,2560,6144,torch.float8_e4m3fn,flydsl,2374,0,7.937,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,126.83,2027.1,0.0
gfx950,256,64,2560,6144,torch.float8_e4m3fn,flydsl,2391,0,9.1831,flydsl_bpreshuflle_32x32x1024_F8_F8_B16_0x1x0x1_default,219.24,1791.28,0.0
gfx950,256,128,2560,6144,torch.float8_e4m3fn,flydsl,686,0,11.8189,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default,340.69,1452.79,0.0
gfx950,256,256,2560,6144,torch.float8_e4m3fn,flydsl,686,0,14.5963,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x2x4x2_default,551.72,1275.13,0.0
gfx950,256,512,2560,6144,torch.float8_e4m3fn,flydsl,208,0,20.167,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x0x4x2_default,798.64,1065.89,0.0
gfx950,256,1024,2560,6144,torch.float8_e4m3fn,cktile,99,0,29.5115,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x128x256_1x4x1_16x16x128_default,1091.52,923.81,0.0
gfx950,256,2048,2560,6144,torch.float8_e4m3fn,flydsl,236,0,43.5914,flydsl_bpreshuflle_128x192x256_F8_F8_B16_1x0x4x2_default,1477.92,890.02,0.0
gfx950,256,4096,2560,6144,torch.float8_e4m3fn,flydsl,421,0,70.0469,flydsl_bpreshuflle_128x192x128_F8_F8_B16_1x1x0x2_default,1839.47,883.21,0.0
gfx950,256,8192,2560,6144,torch.float8_e4m3fn,flydsl,667,0,126.5784,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2035.88,853.25,0.0
gfx950,256,16384,2560,6144,torch.float8_e4m3fn,flydsl,667,0,213.608,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x2x0x2_default,2412.81,937.6,0.0
gfx950,256,32768,2560,6144,torch.float8_e4m3fn,ck,33,0,417.7201,a8w8_bpreshuffle_256x256x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2467.66,921.26,0.0
gfx950,256,1,6144,2048,torch.float8_e4m3fn,flydsl,2314,0,4.8795,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x2_default,5.16,2581.67,0.0
gfx950,256,1,6144,3072,torch.float8_e4m3fn,flydsl,2330,0,5.3761,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x1x0x2_default,7.02,3513.65,0.0
gfx950,256,1,6144,6144,torch.float8_e4m3fn,flydsl,2346,0,7.9782,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x2x0x2_default,9.46,4733.8,0.0
gfx950,256,2,6144,2048,torch.float8_e4m3fn,flydsl,2374,0,4.8821,flydsl_bpreshuflle_16x32x1024_F8_F8_B16_0x0x0x1_default,10.31,2583.23,0.0
