gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,960,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1684,8,6.7329,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0211,46.72,1517.85
gfx950,256,992,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1612,8,6.8066,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.02,47.76,1549.86
gfx950,256,1024,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1664,8,6.8977,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks8_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0202,48.65,1577.19
gfx950,256,1088,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1552,5,7.1623,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0159,49.78,1611.0
gfx950,256,1152,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1587,5,7.2686,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0156,51.93,1678.16
gfx950,256,1216,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1929,8,7.3181,flydsl_hgemm_abf16_wbf16_bf16_t48x32x64x7_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0203,54.45,1756.92
gfx950,256,1280,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1929,8,7.3205,flydsl_hgemm_abf16_wbf16_bf16_t48x32x64x7_ks8_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0199,57.3,1846.43
gfx950,256,1344,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1544,5,7.4669,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0151,58.98,1898.55
gfx950,256,1408,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1524,5,7.45,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0142,61.93,1991.37
gfx950,256,1472,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1594,5,7.5943,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0147,63.51,2040.37
gfx950,256,1536,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1489,5,7.6767,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks5_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0149,65.56,2104.37
gfx950,256,1600,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1561,5,7.7836,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks5_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0154,67.36,2160.19
gfx950,256,1664,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2815,8,7.9525,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x6_ks8_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0194,68.56,2197.24
gfx950,256,1728,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2774,8,8.1086,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x5_ks8_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0194,69.83,2236.27
gfx950,256,1792,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1552,4,8.2188,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x8_ks4_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0115,71.45,2286.52
gfx950,256,1856,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1480,4,8.2851,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x7_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0121,73.41,2347.82
gfx950,256,1920,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1482,4,8.3673,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x6_ks4_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0123,75.19,2403.57
gfx950,256,1984,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1587,4,8.3885,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks4_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0115,77.5,2476.11
gfx950,256,2048,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1499,4,8.4272,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0125,79.63,2542.99
gfx950,256,4096,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2235,4,11.8953,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x7_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0129,112.83,3575.6
gfx950,256,6144,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1270,2,15.4924,flydsl_hgemm_abf16_wbf16_bf16_t48x32x64x9_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0055,129.95,4107.53
gfx950,256,8192,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1034,1,18.0646,flydsl_hgemm_abf16_wbf16_bf16_t32x32x64x9_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,148.6,4690.83
gfx950,256,10240,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,22.0383,native,0.0,152.26,4802.58
gfx950,256,12288,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1008,1,24.3967,flydsl_hgemm_abf16_wbf16_bf16_t48x32x256x3_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0055,165.04,5203.3
gfx950,256,14336,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.5767,native,0.0,170.35,5368.51
gfx950,256,16384,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1174,1,30.6999,flydsl_hgemm_abf16_wbf16_bf16_t64x32x256x3_ks1_w2x1x1_bias0_ktail0_gm4_pft_gfx950,0.0,174.88,5509.74
gfx950,256,32768,32,5120,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,65,1,56.2592,flydsl_hgemm_abf16_wbf16_bf16_t128x32x128x3_ks1_w4x1x2_bias0_ktail0_gm4_pft_gfx950,0.0054,190.86,6007.36
