M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1600,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1664,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1728,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1792,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1856,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1920,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1984,128,512,False,torch.bfloat16,torch.bfloat16,False,False
2048,128,512,False,torch.bfloat16,torch.bfloat16,False,False
4096,128,512,False,torch.bfloat16,torch.bfloat16,False,False
6144,128,512,False,torch.bfloat16,torch.bfloat16,False,False
8192,128,512,False,torch.bfloat16,torch.bfloat16,False,False
10240,128,512,False,torch.bfloat16,torch.bfloat16,False,False
12288,128,512,False,torch.bfloat16,torch.bfloat16,False,False
14336,128,512,False,torch.bfloat16,torch.bfloat16,False,False
16384,128,512,False,torch.bfloat16,torch.bfloat16,False,False
32768,128,512,False,torch.bfloat16,torch.bfloat16,False,False
1,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
2,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
4,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
8,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
16,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
32,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
48,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
64,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
80,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
96,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
112,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
128,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
144,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
160,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
176,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
192,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
208,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
224,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
240,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
256,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
288,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
320,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
352,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
384,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
416,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
448,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
480,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
512,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
544,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
576,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
608,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
640,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
672,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
704,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
736,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
768,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
800,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
832,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
864,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
896,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
928,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
960,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
992,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1024,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1088,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1152,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1216,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1280,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1344,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1408,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1472,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1536,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1600,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1664,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1728,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1792,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1856,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1920,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
1984,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
2048,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
4096,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
6144,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
8192,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
10240,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
12288,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
14336,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
16384,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
32768,32320,5120,False,torch.bfloat16,torch.bfloat16,False,False
